pubchem_cid,SMILES
71717365,C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C
71719786,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C)CCCN=C(N)N
71719787,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C)CCCN=C(N)N
71720397,C[C@H]([C@@H](C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC4=CNC5=CC=CC=C54)NC(=O)[C@H](CCCNC(=N)N)NC(=O)C)O
71777742,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)N
71777747,C1CCC(C1)[C@@](C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)N
90455046,CC1=C(C=CC2=C1C=C(N2)C#N)CN3CCC(CC3)NC4=C5C=C(SC5=NC=N4)CC(F)(F)F
91667931,CC1=C(C=CC2=C1C=C(N2CC3=CNN=C3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F
117636540,CC1=C(C=CC2=C1C=C(N2CC3=CC=NN3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F
130376005,CC1=C(C=CC2=C1C=C(N2C[C@@H]3CNC(=O)CO3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F
132090536,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)C#N
132090541,CCN1CC2=CC=CC=C2C(C1)(C3CCCC3)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7
132104133,C1CCC(C1)C(C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5
132104137,CC(=O)O[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5
132104363,C1CCC(C1)C2(CN(CC3=CC=CC=C32)C4CCC4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8
132104365,CC(C)N1CC2=CC=CC=C2C(C1)(C3CCCC3)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7
132104367,CCS(=O)(=O)C1=CC=C(C=C1)N2CC(C2)CN3CCC(CC3)C4(C5=CC=CC=C5CCN4)C6CCCC6
132104372,CS(=O)(=O)C1=CC=C(C=C1)N2CC(C2)CN3CCC(CC3)C4(C5=CC=CC=C5CCN4)C6CCCC6
132104373,CC(C)S(=O)(=O)C1=CC=C(C=C1)N2CC(C2)CN3CCC(CC3)C4(C5=CC=CC=C5CCN4)C6CCCC6
132104378,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7CC7
132104382,C1CCC(CC1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCC(CC4)C5(C6=CC=CC=C6CCN5)C7CCCC7
132104444,CCO[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5
132104448,CCCC(=O)O[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5
132104449,CO[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5
132104456,CCC(=O)O[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5
132104582,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7CCC7
132104733,C1CCC(C1)C2(CN(CC3=CC=CC=C32)CC4=CC=NC=C4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8
132104734,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)C5CCN(CC5)C6=CC=C(C=C6)C#N
132104735,C1CCC(C1)C2(CN(CC3=CC=CC=C32)CCN4CCOCC4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8
132104736,C1CCC(C1)C2(CN(CC3=CC=CC=C32)CC4CC4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8
132104737,C1CCC(C1)C2(CNCC3=CC=CC=C32)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7
132104738,C1CCC(C1)C2(CN(CC3=CC=CC=C32)CC4COC4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8
132523755,C1CCC(C1)C(CCN2CCC(=CC2)C3=CC=C(C=C3)Cl)(CN)C4=CC=CC=C4
138454904,CNC(=O)O[C@H]1CCC[C@@H]1[C@@]2(CN(CC3=CC=CC=C32)C)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7
138618490,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7CCCC7
138618502,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CCCN(C5)C6=CC=C(C=C6)C#N
138618542,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7
138618549,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CCN(C5)C6=CC=C(C=C6)C#N
138618570,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=CC=C7
138618588,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CCCOC5=CC=C(C=C5)C#N
145397301,CN1CC2=CC=CC=C2C(C1)(C3CCCC3)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7
145977893,CC1(CN=C(S1)N2CCN(CC2)C3=C4C=C(SC4=NC=N3)C(F)(F)F)C
